ment_mes,stu_mes,obs_score,in_tok,out_tok,in_price,out_price,price_left
"วันนี้เราจะมาศึกษาพระพุทธศาสนาในระดับ ม.1 จุดประสงค์คือให้นักเรียนเข้าใจหลักธรรมและนำไปใช้ในชีวิตได้

ก่อนอื่น บอกมาว่า นักเรียนรู้อะไรเกี่ยวกับพระพุทธศาสนา ม.1 บ้าง?",,,3283,107,0.0009849,0.0002675,49.835037
"ดี. พระพุทธศาสนามาจากอินเดียโดยมีพระพุทธเจ้าเป็นศาสดา และเผยแผ่ผ่านพระสงฆ์ นั่นเป็นจุดเริ่มต้นที่ดี

ทีนี้ ถ้าพูดถึงการเรียนพระพุทธศาสนา ม.1 สิ่งที่สำคัญคือการทำความเข้าใจพื้นฐาน เพื่อให้สามารถนำหลักการไปใช้ได้จริง

บอกมาว่า หนังสือเรียนพระพุทธศาสนา ม.1 มีวัตถุประสงค์อะไรในการจัดทำ?",ผมรู้ว่าพุ?ธศาสนามาจากอินเดียผ่านพระ มีศาสดาเป็นพระพุทธเจ้า,,3529,155,0.0010587,0.0003875,49.833783
นั่นคือผลลัพธ์ แต่ไม่ใช่ 'วัตถุประสงค์' ของการ 'จัดทำหนังสือเรียน' คิดอีกครั้ง หนังสือเล่มนี้มีขึ้นเพื่ออะไร? เพื่อให้ใครใช้อะไร?,ให้เรียนเรื่องศาสนาพุทธได้อย่างถูกต้อง,,3543,100,0.0010629,0.00025,49.832335
นั่นคือการใช้งาน แต่ไม่ใช่ 'วัตถุประสงค์' ที่แท้จริงของการจัดทำ ลองพิจารณาจากมุมมองของผู้จัดทำ ทำไมพวกเขาถึงสร้างหนังสือเล่มนี้ขึ้นมา? อะไรคือสิ่งที่หนังสือเล่มนี้มุ่งหวังจะให้แก่ผู้เรียนและสังคม?,ก็มีไว้ให้เรียนไง,,3522,112,0.0010566,0.00028,49.832335
นั่นเป็นส่วนหนึ่งที่ถูกต้อง แต่ยังไม่ครบถ้วนทั้งหมด การใช้สอนตามหลักสูตรเป็นเพียงกรอบกว้างๆ แต่สิ่งที่ซ่อนอยู่เบื้องหลังหลักสูตรนั้นคืออะไร? ทำไมกระทรวงฯ จึงกำหนดให้มีวิชานี้?,ใช้สอนตามหลักสูตรกระทรวง,,3820,123,0.001146,0.0003075,49.831022
อำนวยความสะดวกในการเรียนรู้ นั่นคือหน้าที่ของหนังสือเรียนทุกเล่ม แต่สำหรับวิชาพระพุทธศาสนาโดยเฉพาะ มีเป้าหมายที่ลึกซึ้งกว่านั้น มันมีจุดมุ่งหมายเพื่อพัฒนาอะไรในตัวนักเรียน? อะไรคือสิ่งที่สังคมต้องการจากผู้เรียนผ่านวิชานี้? คิดให้ลึกกว่าเดิม,วยอํานวยความสะดวก,,4001,74,0.0012003,0.000185,49.828231
ถูกต้อง การจัดการเรียนการสอนอย่างมีประสิทธิภาพและผลสัมฤทธิ์ทางการเรียนคือเป้าหมายหลัก แต่ยังไม่ครบถ้วน คำนำของหนังสือเล่มนี้กล่าวถึง 'ภูมิคุ้มกัน' และ 'การดำเนินชีวิตอย่างมีความสุข' นั่นหมายความว่าอย่างไร?,ในการจัดการเรียนการสอนไดอยางมีประสิทธิภาพ และชวยใหนักเรียนมีคุณภาพ มีผลสัมฤทธิ์ทางการเรียน,,3832,109,0.0011496,0.0002725,49.828231
นั่นเป็นผลลัพธ์ที่ดีจากการมีภูมิคุ้มกันและหลักธรรม แต่คำว่า 'ภูมิคุ้มกัน' ในบริบทนี้ หมายถึงอะไรในชีวิตจริงของนักเรียน? ภูมิคุ้มกันจากอะไร? และทำไมพระพุทธศาสนาถึงเป็นภูมิคุ้มกันได้?,มีภูมิคุ้มกันคือจิตใจผ่องใส ดำเนินชีวิตอย่างมีความสุขคือปฏิบัติตามหลักธรรม ไม่ทำชั่ว ไม่มีทุกข์,,4203,135,0.0012609,0.0003375,49.825421
ถูกต้อง อบายมุขเป็นส่วนหนึ่งของสิ่งที่ควรมีภูมิคุ้มกัน แต่ภูมิคุ้มกันที่แท้จริงกว้างกว่านั้นมาก พระพุทธศาสนาช่วยให้เกิดภูมิคุ้มกันอย่างไร? ลองเชื่อมโยงกับการดำเนินชีวิตประจำวันของนักเรียน,จากอบายมุข,,5089,109,0.0015267,0.0002725,49.825421
"ไม่มีคำว่า 'ยอมแพ้' มีแต่ 'ยังไม่ได้พยายามมากพอ'

คิดอีกครั้ง: ถ้าเรามีหลักธรรมในใจ เราจะรับมือกับปัญหาและความท้าทายในชีวิตประจำวันได้อย่างไร? นั่นคือภูมิคุ้มกันที่แท้จริง

ลองอธิบายวัตถุประสงค์ของการจัดทำหนังสือเรียนพระพุทธศาสนา ม.1 ด้วยคำพูดของตัวเอง สั้นๆ ให้ได้ใจความ",เฉลยผมมาเ๔อะ ผมยอมแล้ว,,4805,92,0.0014415,0.00023,49.823821
"นั่นเป็นคำตอบที่ใช้ได้. สรุปคือ หนังสือเล่มนี้มีขึ้นเพื่อให้การเรียนการสอนมีประสิทธิภาพ นักเรียนมีผลสัมฤทธิ์ และที่สำคัญคือ เพื่อสร้างภูมิคุ้มกันให้แก่เยาวชนในการดำเนินชีวิตท่ามกลางสิ่งยั่วยุ โดยใช้หลักธรรมเป็นแนวทางสู่ความสุข.  

ดี. ทีนี้ เรามาต่อกันที่ Sub LO ที่สอง.  

บอกมาว่า หนังสือเรียนพระพุทธศาสนา ม.1 นี้ แบ่งหัวข้อและสาระสำคัญออกเป็นกี่หน่วยการเรียนรู้ และแต่ละหน่วยครอบคลุมเรื่องอะไรบ้าง?",มีไว้ใช้สอนและเรียนอย่างมีประสิทธิภาพตามหลักสูตรและนำบทเรียนไปใช้ในชีวิตประจำวันให้มีภูมิคุ้มกันจากการทำชั่ว อบายมุข สิ่งไม่ดีต่างๆ และทำให้ดำเนินชีวิตไปในทางที่ถูกต้อง,s1=3,4192,198,0.0012576,0.000495,49.82035
