ment_mes,stu_mes,obs_score,in_tok,out_tok,in_price,out_price,price_left
วันนี้เราจะเรียนเรื่องการเจริญเติบโตของสิ่งมีชีวิต บอกมาว่ารู้อะไรเกี่ยวกับเรื่องนี้บ้างแล้ว,,,1778,65,0.0005334,0.0001625,49.981128
ยังไม่รู้คือจุดเริ่มต้นที่ดี วันนี้เราจะเรียนเรื่องการเจริญเติบโตของสิ่งมีชีวิต สิ่งมีชีวิตเจริญเติบโตอย่างไร? อธิบายมา,ยังไม่รู้อะไรเลยครับ,,1796,88,0.0005388,0.00022,49.98043
นั่นคือการเปลี่ยนแปลงที่เห็นได้ชัด แต่กระบวนการภายในที่ทำให้สิ่งมีชีวิต 'ตัวใหญ่ขึ้น' คืออะไร? คิดให้ลึกกว่านั้น,กินแล้วตัวใหญ่ขั้น น้ำหนักเยอะขึ้น,,1841,82,0.0005523,0.000205,49.979671
ถูกต้อง นั่นคือสิ่งที่เกิดขึ้นภายในร่างกาย. ทีนี้ อธิบายกระบวนการที่ทำให้เซลล์เยอะขึ้น กระดูกยาวขึ้น และกล้ามเนื้อมากขึ้น สิ่งนี้เกิดขึ้นได้อย่างไร?,เซลล์เยอะขึ้น กระดูกยาวขึ้น กล้ามเนื้อมากขึ้น,,1886,79,0.0005658,0.0001975,49.979671
โปรตีนเป็นส่วนสำคัญ แต่มีกระบวนการพื้นฐานกว่านั้นที่ทำให้เซลล์เพิ่มจำนวนขึ้นได้ อธิบายกระบวนการนั้น,ใช้โปรตีนในการสร้างเซลล์ให้เยอะขึ้น,,1933,78,0.0005799,0.000195,49.978913
นั่นคือการรับพลังงานและวัตถุดิบเข้ามาในร่างกาย แต่ภายในเซลล์เอง อะไรคือสิ่งที่ทำให้เซลล์จากหนึ่งกลายเป็นสอง? คิดให้ดี,การกินอาหาร การย่อยอาหารหรอ,,1971,35,0.0005913,8.75E-05,49.977373
ถูกต้อง. การแบ่งเซลล์คือหัวใจของการเจริญเติบโต. อธิบายกระบวนการนี้ด้วยคำพูดของตัวเอง ทำได้.,การแบ่งตัวของเซลล์,s1=1,2012,85,0.0006036,0.0002125,49.976694
ถูกต้องบางส่วน การแบ่งเซลล์ทำให้เกิดเซลล์ใหม่จำนวนมากขึ้น และเซลล์เหล่านั้นสามารถพัฒนาไปทำหน้าที่เฉพาะได้. แต่นั่นคือทั้งหมดของการเจริญเติบโตหรือไม่? การเจริญเติบโตมีแค่การเพิ่มจำนวนเซลล์อย่างเดียวใช่หรือไม่?,การแบ่งตัวของเซลล์ คือการทำให้เซลล์แยกเป็นทวีคูณเพื่อทำให้กล้ามเนื้อแข็งแรงขึ้น ใหญ่ขึ้น รวมไปถึงการแบ่งเซลล์ไปทำหน้าที่ที่แตกต่างกัน เช่น เซลล์สมอง เซลล์สืบพันธุ์,s1=2,2188,130,0.0006564,0.000325,49.973566
"ถูกต้อง การเพิ่มจำนวนเซลล์และการเพิ่มขนาดของแต่ละเซลล์ คือสองปัจจัยหลักของการเจริญเติบโต

สรุปสิ่งที่เรียนมาด้วยคำพูดของตัวเองเกี่ยวกับกระบวนการเจริญเติบโตของสิ่งมีชีวิต ทำได้.",มีการเพิ่มขนาดของเซลล์ด้วยครับ เซลล์จะขยายตัวทำให้มีขนาดใหญ่ขึ้น,s1=2,2299,120,0.0006897,0.0003,49.973566
ถูกต้อง นั่นคือกระบวนการหลักของการเจริญเติบโต. ทีนี้ เรามาดูตัวอย่างการเปลี่ยนแปลงขนาดของสิ่งมีชีวิตจากช่วงวัยต่างๆ กัน. ยกตัวอย่างมนุษย์ ตั้งแต่แรกเกิดจนถึงวัยผู้ใหญ่ มีการเปลี่ยนแปลงขนาดและน้ำหนักอย่างไรบ้าง?,การเจริญเติบโตคือการเพ่ิมขนาดและจำนวนของเซลล์ โดยที่จะเพิ่มจำนวนไปเป็นเซลล์ที่ทำหน้าที่เฉพาะจุด และขยายขนาดทำร่างกายมีขนาดใหญ่ขึ้น,s1=3,2368,122,0.0007104,0.000305,49.965991
